Einrichtung;Ort;Adresse;Land;Geografische Breite;Geografische Länge;Webseite;Kuppeldurchmesser;Kuppelneigung;Mobilität;Sitzplätze;Sitzplatzanordnung;Eröffnungsjahr;Besucher pro Jahr;Optomechanischer Projektor;Hersteller des optomechanischen Projektors;Fulldome-Software;Hersteller der Fulldome-Software
Planetarium;Berlin;Alt-Treptow 1, 12435 Berlin;DE;52,486;13,476;www.planetarium.berlin;8;0;Stationär;38;Konzentrisch;1959;(unbekannt);Zeiss Skymaster ZKP 2;Zeiss;;
Planetarium;Berlin;Munsterdamm 90, 12169 Berlin-Schöneberg;DE;52,458;13,349;www.planetarium.berlin;20;0;Stationär;291;Unidirektional;1965;(unbekannt);Zeiss Modell Vb;Zeiss;Zeiss Velvet;Zeiss
Planetarium;Berlin;Prenzlauer Allee 80, 10405 Berlin;DE;52,543;13,428;www.planetarium.berlin;23;0;Stationär;307;Unidirektional;1987;(unbekannt);Zeiss Universarium IX;Zeiss;Zeiss Velvet, E&S Digistar;Evans & Sutherland
Planetarium;Berlin;Prenzlauer Allee 80, 10405 Berlin;DE;52,543;13,428;www.planetarium.berlin;6;0;Mobil;30;Variabel;2017;(unbekannt);;;E&S Digistar;Evans & Sutherland
Planetarium;Blankenfelde-Mahlow;Bahnhofstraße 63, 15827 Blankenfelde-Mahlow;DE;52,325;13,425;www.sternwartedahlewitz.de;6;0;Stationär;20;Unidirektional;2007;(unbekannt);RSA Cosmos Cosmodyssée III;RSA Cosmos;;
Planetarium;Cottbus;Lindenplatz 21, 03042 Cottbus;DE;51,754;14,344;www.planetarium-cottbus.de;12.5;0;Stationär;91;Unidirektional;1974;(unbekannt);Goto Chronos II;GOTO;RSA Cosmos In Space System 2C HD;RSA Cosmos
Planetarium;Frankfurt an der Oder;Mühlenweg 48, 15232 Frankfurt an der Oder;DE;52,326;14,549;www.planetarium-frankfurt.de;8;0;Stationär;30;Variabel;1974;(unbekannt);Zeiss Skymaster ZKP 2;Zeiss;VIOSO-FullDome-2k;Vioso
Planetarium;Herzberg an der Elster;Lugstraße 3, 04916 Herzberg/Elster;DE;51,692;13,229;www.herzberger-sternfreunde-ev.de;8;0;Stationär;70;Konzentrisch;1965;(unbekannt);Zeiss Skymaster ZKP 2;Zeiss;;
Planetarium;Jüterbog;Schillerstraße 42/50, 14931 Jüterbog;DE;51,994;13,083;www.gsgym.de;6;0;Stationär;42;Variabel;1986;(unbekannt);Zeiss ZKP 1;Zeiss;;
Planetarium;Potsdam;Gutenbergstraße 71/72, 14467 Potsdam;DE;52,402;13,062;www.urania-planetarium.de;8;0;Stationär;46;Konzentrisch;2007;(unbekannt);Zeiss Skymaster ZKP 2;Zeiss;Zeiss Spacegate Quinto;Zeiss
Planetarium;Chemnitz;Albert-Köhler-Straße 48, 09122 Chemnitz;DE;50,793;12,889;www.planetarium-chemnitz.de;6;0;Stationär;34;Konzentrisch;1981;(unbekannt);Zeiss Skymaster ZKP 2;Zeiss;Eigenbau;Eigenbau
Planetarium;Drebach;Milchstraße 1, 09430 Drebach;DE;50,674;13,013;www.sternwarte-drebach.de;11;0;Stationär;70;Konzentrisch;1986;(unbekannt);Zeiss Skymaster ZKP 3;Zeiss;Zeiss Velvet Duo;Zeiss
Planetarium;Görlitz;An der Sternwarte 1, 02827 Görlitz;DE;51,135;14,949;www.goerlitzer-sternfreunde.de;8;0;Stationär;80;Konzentrisch;1989;(unbekannt);Zeiss ZKP 1;Zeiss;;
Planetarium;Pirna;Rottwerndorfer Straße 49, 01796 Pirna;DE;50,941;13,946;www.eva-pirna.de;4.4;0;Stationär;20;Konzentrisch;1967;(unbekannt);Selbstbau;Eigenbau;;
Planetarium;Radebeul;Auf den Ebenbergen 10a, 01445 Radebeul;DE;51,116;13,622;www.sternwarte-radebeul.de;8;0;Stationär;60;Konzentrisch;1969;(unbekannt);Zeiss Skymaster ZKP 4;Zeiss;VIOSO-FullDome-2k;Vioso
Planetarium;Rodewisch;Rützengrüner Straße 41a, 08228 Rodewisch;DE;50,527;12,415;www.sternwarte-rodewisch.de;8;0;Stationär;60;Konzentrisch;1984;(unbekannt);Zeiss Skymaster ZKP 2;Zeiss;Zeiss Powerdome;Zeiss
