institution;location;address;country_code;latitude;longitude;website;dome_diameter;dome_tilt;mobility;seats;seat_arrangement;opening_year;visitors_per_year;optomechanical_projector;optomechanical_projector_manufacturer;fulldome_software;fulldome_software_manufacturer
Planetarium;Berlin;Alt-Treptow 1, 12435 Berlin;DE;52.48586205;13.476328233656188;www.planetarium.berlin;8;0.0;stationary;38;concentric;1959;unknown;Zeiss Skymaster ZKP 2;Zeiss;;
Planetarium;Berlin;Munsterdamm 90, 12169 Berlin-Schöneberg;DE;52.4576546;13.3491657;www.planetarium.berlin;20;0.0;stationary;291;unidirectional;1965;unknown;Zeiss Modell Vb;Zeiss;Zeiss Velvet;Zeiss
Planetarium;Berlin;Prenzlauer Allee 80, 10405 Berlin;DE;52.54305685;13.428143813461539;www.planetarium.berlin;23;0.0;stationary;307;unidirectional;1987;unknown;Zeiss Universarium IX;Zeiss;Zeiss Velvet, E&S Digistar;Evans & Sutherland
Planetarium;Berlin;Prenzlauer Allee 80, 10405 Berlin;DE;52.54305685;13.428143813461539;www.planetarium.berlin;6;0.0;mobile;30;variable;2017;unknown;;;E&S Digistar;Evans & Sutherland
Planetarium;Blankenfelde-Mahlow;Bahnhofstraße 63, 15827 Blankenfelde-Mahlow;DE;52.32522325;13.425075442148316;www.sternwartedahlewitz.de;6;0.0;stationary;20;unidirectional;2007;unknown;RSA Cosmos Cosmodyssée III;RSA Cosmos;;
Planetarium;Cottbus;Lindenplatz 21, 03042 Cottbus;DE;51.75449425;14.344334810299305;www.planetarium-cottbus.de;12.5;0.0;stationary;91;unidirectional;1974;unknown;Goto Chronos II;GOTO;RSA Cosmos In Space System 2C HD;RSA Cosmos
Planetarium;Frankfurt an der Oder;Mühlenweg 48, 15232 Frankfurt an der Oder;DE;52.32575445;14.549366018691149;www.planetarium-frankfurt.de;8;0.0;stationary;30;variable;1974;unknown;Zeiss Skymaster ZKP 2;Zeiss;VIOSO-FullDome-2k;Vioso
Planetarium;Herzberg an der Elster;Lugstraße 3, 04916 Herzberg/Elster;DE;51.6919391;13.22857422458485;www.herzberger-sternfreunde-ev.de;8;0.0;stationary;70;concentric;1965;unknown;Zeiss Skymaster ZKP 2;Zeiss;;
Planetarium;Jüterbog;Schillerstraße 42/50, 14931 Jüterbog;DE;51.9935623;13.0826579;www.gsgym.de;6;0.0;stationary;42;variable;1986;unknown;Zeiss ZKP 1;Zeiss;;
Planetarium;Potsdam;Gutenbergstraße 71/72, 14467 Potsdam;DE;52.4024953;13.0617568;www.urania-planetarium.de;8;0.0;stationary;46;concentric;2007;unknown;Zeiss Skymaster ZKP 2;Zeiss;Zeiss Spacegate Quinto;Zeiss
Planetarium;Chemnitz;Albert-Köhler-Straße 48, 09122 Chemnitz;DE;50.793029849999996;12.888901876764766;www.planetarium-chemnitz.de;6;0.0;stationary;34;concentric;1981;unknown;Zeiss Skymaster ZKP 2;Zeiss;Eigenbau;self-made
Planetarium;Drebach;Milchstraße 1, 09430 Drebach;DE;50.673891499999996;13.012757588496326;www.sternwarte-drebach.de;11;0.0;stationary;70;concentric;1986;unknown;Zeiss Skymaster ZKP 3;Zeiss;Zeiss Velvet Duo;Zeiss
Planetarium;Görlitz;An der Sternwarte 1, 02827 Görlitz;DE;51.134548550000005;14.949302992449166;www.goerlitzer-sternfreunde.de;8;0.0;stationary;80;concentric;1989;unknown;Zeiss ZKP 1;Zeiss;;
